,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Butaritari,3.07,172.79,83.35,77,16,10.04,KI,1589612528
1,Ancud,-41.87,-73.82,60.01,87,100,14.99,CL,1589612350
2,Sechelt,49.47,-123.77,57.0,74,100,1.99,CA,1589612529
3,Port Elizabeth,-33.92,25.57,55.4,66,0,9.17,ZA,1589612406
4,Busselton,-33.65,115.33,66.99,35,24,7.76,AU,1589612529
5,Narsaq,60.92,-46.05,37.4,74,95,3.36,GL,1589612529
6,Cape Town,-33.93,18.42,57.99,93,0,2.24,ZA,1589612446
7,Asău,46.43,26.4,50.0,70,100,4.36,RO,1589612529
8,Laguna,38.42,-121.42,61.0,55,1,3.36,US,1589612455
9,Getahovit,40.9,45.14,75.79,46,16,1.05,AM,1589612530
10,Punta Arenas,-53.15,-70.92,39.2,93,40,4.7,CL,1589612530
11,Namatanai,-3.67,152.43,84.25,76,6,8.86,PG,1589612530
12,Porto Nacional,-10.71,-48.42,75.2,88,20,4.7,BR,1589612530
13,New Norfolk,-42.78,147.06,57.0,68,53,5.01,AU,1589612530
14,Rikitea,-23.12,-134.97,74.73,84,100,18.88,PF,1589612531
15,Vaini,-21.2,-175.2,73.4,78,75,5.82,TO,1589612531
16,West Fargo,46.88,-96.9,53.6,57,1,6.93,US,1589612329
17,Gijón,43.54,-5.66,53.6,81,20,2.24,ES,1589612531
18,Hilo,19.73,-155.09,78.8,65,90,3.36,US,1589612405
19,Borba,-4.39,-59.59,73.33,96,96,0.11,BR,1589612532
20,Fukuechō,32.69,128.84,73.4,88,75,5.82,JP,1589612532
21,Walvis Bay,-22.96,14.51,57.0,81,0,3.36,NA,1589612532
22,Ushuaia,-54.8,-68.3,41.0,80,75,4.43,AR,1589612461
23,Tasiilaq,65.61,-37.64,33.8,69,100,4.7,GL,1589612532
24,Fengzhen,40.44,113.15,59.72,26,0,21.68,CN,1589612533
25,Inhambane,-23.86,35.38,71.6,83,0,3.02,MZ,1589612533
26,Upernavik,72.79,-56.15,29.98,98,90,13.02,GL,1589612533
27,Neuquén,-38.95,-68.06,68.0,40,86,9.17,AR,1589612356
28,Makakilo City,21.35,-158.09,78.8,73,1,4.7,US,1589612284
29,Seminole,28.71,-81.21,73.99,88,90,8.05,US,1589612533
30,Bengkulu,-3.8,102.27,86.85,68,91,8.48,ID,1589612534
31,Visby,57.64,18.3,48.0,87,92,17.22,SE,1589612534
32,Avera,33.19,-82.53,62.6,96,1,5.26,US,1589612534
33,Codrington,-38.27,141.97,54.73,60,0,4.7,AU,1589612534
34,Carnarvon,-24.87,113.63,82.45,20,0,6.11,AU,1589612236
35,Broome,42.25,-75.83,55.99,93,75,5.82,US,1589612535
36,Jamestown,42.1,-79.24,51.8,87,1,5.82,US,1589612535
37,Araouane,18.9,-3.53,82.83,15,57,16.91,ML,1589612535
38,Grindavik,63.84,-22.43,39.2,67,20,6.93,IS,1589612535
39,San Patricio,19.22,-104.7,69.96,68,0,2.37,MX,1589612536
40,Bajil,15.06,43.29,97.12,37,0,15.82,YE,1589612536
41,Salalah,17.02,54.09,87.8,70,20,6.93,OM,1589612536
42,Rabo de Peixe,37.8,-25.58,60.8,82,75,6.93,PT,1589612536
43,Bluff,-46.6,168.33,51.73,82,100,7.2,NZ,1589612537
44,Barrow,71.29,-156.79,26.6,86,90,14.99,US,1589612537
45,Yulara,-25.24,130.99,69.8,16,0,10.29,AU,1589612537
46,Albany,42.6,-73.97,60.01,73,99,5.99,US,1589612537
47,San-Pédro,4.75,-6.64,77.22,93,94,4.88,CI,1589612465
48,Boone,39.03,-92.33,62.6,93,1,6.93,US,1589612494
49,Mount Gambier,-37.83,140.77,59.0,58,0,10.29,AU,1589612538
50,Sitka,57.05,-135.33,51.8,81,20,1.88,US,1589612538
51,Coyhaique,-45.58,-72.07,48.02,79,100,9.53,CL,1589612538
52,Avarua,-21.21,-159.78,77.0,83,20,6.93,CK,1589612422
