,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,moroni,-11.7,43.26,77.63,73,26,18.66,KM,1589651582
1,namatanai,-3.67,152.43,79.84,81,2,6.67,PG,1589651582
2,punta arenas,-53.15,-70.92,41.0,86,75,5.82,CL,1589651268
3,capilla de guadalupe,20.83,-102.58,77.05,19,0,11.07,MX,1589651583
4,hamilton,39.18,-84.53,75.99,78,90,6.82,US,1589651583
5,porterville,36.07,-119.02,75.0,49,1,4.7,US,1589651583
6,provideniya,64.38,-173.3,40.35,66,19,10.87,RU,1589651583
7,hilo,19.73,-155.09,75.99,69,90,5.82,US,1589651262
8,port alfred,-33.59,26.89,55.0,81,52,3.0,ZA,1589651584
9,hermanus,-34.42,19.23,52.0,84,62,1.48,ZA,1589651584
10,butaritari,3.07,172.79,82.87,76,15,10.25,KI,1589651584
11,albany,42.6,-73.97,73.99,39,11,1.01,US,1589651162
12,ancud,-41.87,-73.82,61.0,67,75,5.82,CL,1589651585
13,georgetown,5.41,100.34,78.8,100,40,3.36,MY,1589651291
14,upernavik,72.79,-56.15,31.01,96,45,13.11,GL,1589651585
15,lagoa,39.05,-27.98,65.12,88,98,14.38,PT,1589651585
16,puerto carreno,6.19,-67.49,89.6,55,40,2.24,CO,1589651585
17,arraial do cabo,-22.97,-42.03,75.2,73,40,11.41,BR,1589651508
18,conceicao do araguaia,-8.26,-49.26,86.0,70,20,5.82,BR,1589651586
19,yerofey pavlovich,53.97,121.97,43.83,69,76,6.53,RU,1589651586
20,east london,-33.02,27.91,63.43,61,16,3.42,ZA,1589651586
21,aksay,47.26,39.87,52.0,76,74,4.47,RU,1589651586
22,tevaitoa,-16.78,-151.5,82.44,75,15,8.37,PF,1589651586
23,purpe,64.48,76.69,46.99,86,100,11.16,RU,1589651587
24,ushuaia,-54.8,-68.3,44.6,81,40,4.7,AR,1589651240
25,vaini,-21.2,-175.2,66.2,93,20,4.7,TO,1589651587
26,zunyi,27.69,106.91,64.8,85,62,3.42,CN,1589651587
27,fortuna,40.6,-124.16,61.0,72,40,16.11,US,1589651267
28,thompson,55.74,-97.86,57.2,28,75,11.41,CA,1589651588
29,minna,9.61,6.56,95.0,47,20,14.99,NG,1589651588
30,mataura,-46.19,168.86,38.5,87,9,2.24,NZ,1589651588
31,aneho,6.23,1.6,87.8,74,20,12.75,TG,1589651588
32,bulungu,-4.55,18.6,76.46,70,58,1.12,CD,1589651588
33,dicabisagan,17.08,122.42,80.71,84,80,10.47,PH,1589651589
34,perth,-31.93,115.83,59.0,72,65,8.05,AU,1589651483
35,hasaki,35.73,140.83,63.0,100,75,9.17,JP,1589651589
36,severo-kurilsk,50.68,156.12,35.56,87,97,7.07,RU,1589651589
37,antalaha,-14.9,50.28,75.0,84,1,6.49,MG,1589651590
38,anshun,26.25,105.93,62.65,81,98,4.61,CN,1589651590
39,pathein,16.78,94.73,84.13,71,100,5.82,MM,1589651590
40,tasiilaq,65.61,-37.64,39.2,60,20,13.87,GL,1589651590
41,chuy,-33.7,-53.46,72.43,51,0,14.29,UY,1589651591
42,avarua,-21.21,-159.78,77.0,73,75,12.75,CK,1589651591
43,shahapur,19.45,73.33,87.8,74,40,4.7,IN,1589651554
44,torbay,47.67,-52.73,43.0,75,90,8.05,CA,1589651591
45,port hawkesbury,45.62,-61.35,46.99,75,90,6.93,CA,1589651592
46,yellowknife,62.46,-114.35,32.0,70,75,16.11,CA,1589651592
47,kawalu,-7.38,108.21,74.84,92,87,0.94,ID,1589651592
48,hami,42.8,93.45,79.99,17,100,12.75,CN,1589651592
49,gisborne,-38.65,178.0,51.01,99,89,1.99,NZ,1589651520
50,oussouye,12.48,-16.55,93.2,69,0,9.17,SN,1589651269
51,rikitea,-23.12,-134.97,77.13,83,100,16.42,PF,1589651219
52,havoysund,71.0,24.66,37.4,86,100,19.46,NO,1589651593
53,kruisfontein,-34.0,24.73,51.84,85,97,3.11,ZA,1589651593
54,hithadhoo,-0.6,73.08,84.7,77,67,18.57,MV,1589651265
55,bredasdorp,-34.53,20.04,55.4,71,68,2.24,ZA,1589651507
56,kamina,-8.74,24.99,68.99,72,2,2.62,CD,1589651593
57,cabo san lucas,22.89,-109.91,84.99,57,5,6.93,MX,1589651590
58,maxixe,-23.86,35.35,73.4,78,2,4.7,MZ,1589651594
59,geraldton,-28.77,114.6,55.4,87,68,4.7,AU,1589651594
60,rosetta,31.4,30.42,80.6,47,51,9.17,EG,1589651594
61,busselton,-33.65,115.33,54.0,49,60,8.23,AU,1589651594
62,buenaventura,3.88,-77.03,85.1,78,40,5.26,CO,1589651303
63,cape town,-33.93,18.42,57.99,67,54,4.7,ZA,1589651168
64,hovd,48.01,91.64,62.19,30,49,5.19,MN,1589651595
65,lubumbashi,-11.66,27.48,61.97,70,0,3.04,CD,1589651595
66,praia da vitoria,38.73,-27.07,69.8,73,75,13.53,PT,1589651595
67,saldanha,-33.01,17.94,59.0,67,1,8.05,ZA,1589651595
68,marzuq,14.4,46.47,85.62,34,11,3.33,YE,1589651596
69,imbituba,-28.24,-48.67,73.4,49,0,10.29,BR,1589651596
70,ballina,-28.87,153.57,59.0,93,40,8.05,AU,1589651596
71,talnakh,69.49,88.4,37.4,86,40,29.08,RU,1589651596
72,kaitangata,-46.28,169.85,44.01,83,0,5.01,NZ,1589651507
73,zhigansk,66.77,123.37,37.53,87,39,8.93,RU,1589651597
74,fallon,39.47,-118.78,68.0,20,1,10.29,US,1589651597
75,vila franca do campo,37.72,-25.43,62.6,88,75,8.05,PT,1589651597
76,kodiak,57.79,-152.41,46.4,93,90,3.69,US,1589651597
77,mahebourg,-20.41,57.7,71.6,88,20,2.24,MU,1589651597
78,ixtapa,20.7,-105.2,81.0,65,5,10.29,MX,1589651374
79,chokurdakh,70.63,147.92,19.72,97,0,7.31,RU,1589651598
80,airai,-8.93,125.41,61.83,100,88,3.89,TL,1589651260
81,barguzin,53.62,109.62,41.56,68,97,2.06,RU,1589651598
82,souillac,-20.52,57.52,71.6,88,20,2.24,MU,1589651598
83,loknya,56.83,30.15,43.29,90,93,8.32,RU,1589651598
84,colon,9.36,-79.9,89.6,66,20,5.82,PA,1589651599
85,kavaratti,10.57,72.64,85.73,80,100,13.53,IN,1589651599
86,mahalapye,-23.1,26.81,63.25,27,0,2.35,BW,1589651599
87,nanortalik,60.14,-45.24,40.37,83,99,4.32,GL,1589651599
88,mar del plata,-38.0,-57.56,77.0,38,0,14.99,AR,1589651599
89,kapaa,22.08,-159.32,75.2,83,20,11.41,US,1589651600
90,cidreira,-30.18,-50.21,69.31,51,0,13.11,BR,1589651353
91,iqaluit,63.75,-68.51,32.0,92,75,10.29,CA,1589651600
92,saskylakh,71.92,114.08,32.5,97,100,3.51,RU,1589651506
93,jiujiang,29.73,115.98,75.63,77,100,3.36,CN,1589651600
94,salalah,17.02,54.09,86.0,79,20,3.36,OM,1589651601
95,los llanos de aridane,28.66,-17.92,68.0,60,75,12.75,ES,1589651601
96,larsnes,62.2,5.58,39.99,89,100,18.01,NO,1589651601
97,qaanaaq,77.48,-69.36,32.05,93,0,0.81,GL,1589651264
98,jawhar,2.78,45.5,79.84,78,12,15.46,SO,1589651601
99,santa rosa,14.31,121.11,81.0,94,20,2.24,PH,1589651602
100,mwanza,-2.52,32.9,78.8,69,40,3.91,TZ,1589651602
101,bambanglipuro,-7.95,110.28,79.36,85,77,10.78,ID,1589651602
102,lebu,-37.62,-73.65,60.91,82,68,3.62,CL,1589651602
103,ransang,8.96,117.58,80.87,81,23,4.27,PH,1589651602
104,sharan,54.82,54.0,45.75,73,83,6.15,RU,1589651602
105,luderitz,-26.65,15.16,69.8,52,0,5.82,NA,1589651603
106,asau,46.43,26.4,54.0,72,25,2.19,RO,1589651603
107,cardonal,20.6,-99.13,80.6,20,0,9.62,MX,1589651603
108,togur,58.36,82.83,51.24,91,94,7.63,RU,1589651603
109,hobart,-42.88,147.33,52.0,76,11,5.82,AU,1589651102
110,huarmey,-10.07,-78.15,72.95,65,57,10.31,PE,1589651604
111,bilma,18.69,12.92,93.94,8,0,8.23,NE,1589651604
112,the valley,18.22,-63.06,89.6,52,40,10.29,AI,1589651315
113,bambous virieux,-20.34,57.76,73.0,88,20,2.24,MU,1589651266
114,bluff,-46.6,168.33,46.78,90,41,9.06,NZ,1589651605
115,jamestown,42.1,-79.24,66.0,63,20,9.17,US,1589651155
116,port elizabeth,-33.92,25.57,55.4,87,87,3.36,ZA,1589651605
117,port-cartier,50.03,-66.87,51.01,54,75,9.17,CA,1589651605
118,santa vitoria,-18.84,-50.12,76.24,69,69,7.52,BR,1589651605
119,pisco,-13.7,-76.22,66.2,82,90,8.05,PE,1589651605
120,sao filipe,14.9,-24.5,74.1,75,43,12.53,CV,1589651606
121,coquimbo,-29.95,-71.34,57.2,82,75,12.75,CL,1589651606
122,sargur,11.98,76.42,75.36,82,100,4.03,IN,1589651606
123,san andres,12.58,-81.7,89.6,66,40,14.99,CO,1589651606
124,yima,34.74,111.88,77.0,99,0,5.1,CN,1589651606
125,yulara,-25.24,130.99,48.2,42,0,8.05,AU,1589651607
126,ribeira grande,38.52,-28.7,66.2,93,75,10.29,PT,1589651264
127,khash,28.22,61.22,74.53,20,70,4.45,IR,1589651607
128,hervey bay,-25.3,152.85,62.01,91,6,5.99,AU,1589651607
129,aksarka,66.56,67.8,36.09,97,100,5.91,RU,1589651608
130,podporozhye,60.91,34.17,42.94,91,100,5.53,RU,1589651608
131,puerto ayora,-0.74,-90.35,80.6,74,20,11.41,EC,1589651261
132,klaksvik,62.23,-6.59,39.2,80,100,21.92,FO,1589651608
133,laguna,38.42,-121.42,73.0,40,1,8.05,US,1589651608
134,mmabatho,-25.85,25.63,62.6,27,0,5.82,ZA,1589651609
135,cherskiy,68.75,161.3,39.43,65,0,4.41,RU,1589651609
136,zyryanka,65.75,150.85,32.52,96,92,10.8,RU,1589651609
137,kitimat,54.05,-128.65,57.2,54,75,10.29,CA,1589651609
138,dali,25.7,100.18,60.22,72,71,4.81,CN,1589651609
139,usinsk,65.99,57.53,41.18,69,100,8.79,RU,1589651610
140,yuci,37.68,112.73,55.4,28,0,6.71,CN,1589651610
141,rimbey,52.63,-114.24,64.4,45,75,5.82,CA,1589651610
142,road town,18.42,-64.62,87.8,62,40,11.41,VG,1589651610
143,bonawon,9.13,122.92,82.13,77,16,3.42,PH,1589651611
144,hofn,64.25,-15.21,43.63,61,91,13.33,IS,1589651611
145,orlik,52.52,99.83,42.33,62,100,0.63,RU,1589651611
